"ID","Collection","ENS","Minting Date","Tx Count","Power"
"2346205","0xce14f66177429926126e50f4bcc288b44b245d91","giveus.eth","Thu, 28 Oct 2021 05:03:50 GMT","1","5"
"2346207","0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2","nanexcool.eth","Thu, 28 Oct 2021 05:03:55 GMT","1","193"
"2346210","0x706d961ab69d54a0fcbaa13e77842279a5724139","857857.eth","Thu, 28 Oct 2021 05:05:35 GMT","1","454"
"2346211","0xd7b30d0ebc9cea5d6b595f6e78e8d5d3b661b0b6","","Thu, 28 Oct 2021 05:06:10 GMT","1","4"
"2346212","0x1a207beefc754735871ceeb4c506686f044b1c41","ethmemes.eth","Thu, 28 Oct 2021 05:06:10 GMT","1","42"
"2346215","0x2d815240a61731c75fa01b2793e1d3ed09f289d0","","Thu, 28 Oct 2021 05:06:50 GMT","1","3"
"2346219","0x37e943202b294f2bc10ae7e9a46e650ee213f1ae","letsdecentralize.eth","Thu, 28 Oct 2021 05:07:35 GMT","1","1"
"2346222","0x4cb780fd3286f2d10199b61423d1c804bd2a5d2b","terransforce.eth","Thu, 28 Oct 2021 05:07:55 GMT","1","973"
"2346223","0xb123e0f41b1aa163bf274d0178b22f7f6dbcddbb","","Thu, 28 Oct 2021 05:08:00 GMT","1","698"
"2346224","0xfb64df081266b41f62af73562c274a42c020bb81","","Thu, 28 Oct 2021 05:08:10 GMT","1","219"
"2346226","0x2b1a1da8167b43bfecd63bc3e4f22ad032f53b76","","Thu, 28 Oct 2021 05:09:15 GMT","1","1"
"2346227","0x6f1b12a415e035eebdc8559130ea8bdb96add48c","pratik.eth","Thu, 28 Oct 2021 05:09:25 GMT","1","85"
"2346228","0x6bda0404288459cdc35b95a0162636088dccbee8","poapdao.eth","Thu, 28 Oct 2021 05:09:45 GMT","1","1587"
"2346229","0xe6ce84fb35db1cd9e17016abef2b06f7630f97b2","","Thu, 28 Oct 2021 05:10:00 GMT","1","253"
"2346230","0x0689b5e6ffc85d89f4521129dfe06551d4dc9e2e","zgqkl.eth","Thu, 28 Oct 2021 05:10:07 GMT","1","217"
"2346231","0xce12c582f13ff47951a44d961785f029cd672eaf","billl.eth","Thu, 28 Oct 2021 05:10:07 GMT","1","17"
"2346232","0x819e479f87a6384dcd1c63be221e76b474a581d0","","Thu, 28 Oct 2021 05:10:10 GMT","1","1115"
"2346234","0xefceb798c36479f3ce5710253f4c58593e6cafea","","Thu, 28 Oct 2021 05:10:45 GMT","1","83"
"2346236","0x123cb34636cce955d7dfa64ee1c1072f49d44800","","Thu, 28 Oct 2021 05:11:05 GMT","1","6"
"2346237","0x7ce0448b0fafab6cace981fffa967cf380a2cc33","jameshih.eth","Thu, 28 Oct 2021 05:11:20 GMT","1","23"
"2346238","0x827c4a0cf2bceab2a279648a7e6897f63ad34499","","Thu, 28 Oct 2021 05:11:30 GMT","1","323"
"2346239","0xafd12ad4baf2c15d1770d400811eeda512fd442d","","Thu, 28 Oct 2021 05:11:35 GMT","1","69"
"2346240","0xb2fba7f4384c517e1524846aba89393b3ef42042","","Thu, 28 Oct 2021 05:11:45 GMT","1","28"
"2346244","0x95bbc00a238dbb99f83ca1107deb1a3575de2924","","Thu, 28 Oct 2021 05:12:25 GMT","1","2"
"2346246","0x80cb9f86c6edb7468145316c4b2cc004f25d2a7c","","Thu, 28 Oct 2021 05:13:00 GMT","1","255"
"2346248","0xaa52dec9a41ccbd7791f8e82a86181baf7c8c064","","Thu, 28 Oct 2021 05:13:05 GMT","1","3"
"2346250","0x18a842c315c6a8c54d041c65b0aa2732f50c00da","","Thu, 28 Oct 2021 05:13:25 GMT","1","374"
"2346251","0x8029c4c55afd6f0e93ec080c5041e7e62e21bceb","","Thu, 28 Oct 2021 05:13:30 GMT","1","730"
"2346252","0x1ceaf3e17decfc2b528d5371aedc10465c449591","","Thu, 28 Oct 2021 05:13:40 GMT","1","176"
"2346256","0x67a6076958f88b4944c7281b6fc2e67c76bcb9e2","jackycheung.eth","Thu, 28 Oct 2021 05:14:05 GMT","1","134"
"2346261","0x245978905f810652568dd7d516d19a61031c9884","","Thu, 28 Oct 2021 05:15:15 GMT","1","1"
"2346265","0x93cc449c9b45c1a82d1e65b8b0b629dd4ea88248","alternity.eth","Thu, 28 Oct 2021 05:16:27 GMT","1","651"
"2346275","0x05f114d5a5d786c99b6c5ce2ac9f7a4e3cec5f4c","","Thu, 28 Oct 2021 05:18:40 GMT","1","2"
"2346281","0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76","jacob.willemsma.eth","Thu, 28 Oct 2021 05:18:50 GMT","1","2"
"2346283","0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9","jamescarnley.eth","Thu, 28 Oct 2021 05:18:55 GMT","1","346"
"2346284","0x5c53fdd9b9877d1037b655a09e6a240b9205ea6e","","Thu, 28 Oct 2021 05:19:15 GMT","1","13"
"2346289","0x6ddde78fbc9562cc5d8f1efbfd0acb6a5878c796","sagiri.eth","Thu, 28 Oct 2021 05:21:12 GMT","1","540"
"2346290","0xf54693a7e8f607cacde42218628faddf91235ef9","","Thu, 28 Oct 2021 05:21:25 GMT","1","1"
"2346291","0x0de33d82c8890d07a479761557c977c56c666666","","Thu, 28 Oct 2021 05:21:35 GMT","1","511"
"2346292","0x0b5fd18b5429a16e281dc7aeda22fc4269315e30","","Thu, 28 Oct 2021 05:21:35 GMT","1","9"
"2346294","0x53aa7ec5ec6cc150fe6cdcf0fddec50e1f4873c6","yipit.eth","Thu, 28 Oct 2021 05:21:45 GMT","1","862"
"2346296","0xa1119519fe31704e9ea21fe6c639983639cd1759","","Thu, 28 Oct 2021 05:21:50 GMT","1","8"
"2346299","0x1e0196084c6ce07362807403ef46484cd0266520","thenine.eth","Thu, 28 Oct 2021 05:22:00 GMT","1","435"
"2346300","0x543b65d285d708b6f23d667a0cc554fb22b458d7","","Thu, 28 Oct 2021 05:22:15 GMT","1","804"
"2346305","0x4d2803f468b736b62fe9eec992c8f4c41be4cb15","","Thu, 28 Oct 2021 05:23:10 GMT","1","1054"
"2346308","0x6a96b17601c59d867123c5f45c0867fc735ed15a","","Thu, 28 Oct 2021 05:23:30 GMT","1","56"
"2346311","0x3c7d5bb537abae440e0abe552342f422a4b1e6c1","layer2finance.eth","Thu, 28 Oct 2021 05:23:45 GMT","1","1604"
"2346312","0x8e2ae37b273d83a11ca796c8582c371d72914873","","Thu, 28 Oct 2021 05:23:45 GMT","1","15"
"2346316","0x5e40239c87f8e0c8bc7a12937ea249290401ba89","","Thu, 28 Oct 2021 05:24:22 GMT","1","2"
"2346318","0x70e7a6621f4cb3c3e073d0539899f49fc88424c0","cweihan.eth","Thu, 28 Oct 2021 05:24:25 GMT","1","17"
"2346319","0x5bf37de3ad09ec7f23c250af0928f8d53b49da6c","","Thu, 28 Oct 2021 05:24:30 GMT","1","7"
"2346321","0x6c3220d77261b86f9f6c91e3eea6c0da4d864fc5","","Thu, 28 Oct 2021 05:24:55 GMT","1","15"
"2346324","0x17ae0a6be2e97b384165626db2569729d5006640","bayualsyah.eth","Thu, 28 Oct 2021 05:25:15 GMT","1","5"
"2346325","0x37ea22d0f551aa66d54605592b672f385b713dc4","","Thu, 28 Oct 2021 05:25:35 GMT","1","536"
"2346328","0x09dce0f0960c35ee0307d602f22eaeafccff209d","capitalg.eth","Thu, 28 Oct 2021 05:25:45 GMT","1","790"
"2346329","0xaa2a0b422c4876c3511cfe1fbc4218dd0796735c","eurvin.eth","Thu, 28 Oct 2021 05:25:45 GMT","1","8"
"2346332","0xcb11746310661bd5937ac3511ae6354231113801","","Thu, 28 Oct 2021 05:26:40 GMT","1","303"
"2346338","0xec561dd73346f761d1c09f46999bc8ea1b1e95a2","luckfairy.eth","Thu, 28 Oct 2021 05:27:55 GMT","1","253"
"2346341","0x3af9fe35d280ada5a5edb1bef3ed872a3231d73c","treth.eth","Thu, 28 Oct 2021 05:28:25 GMT","1","24"
"2346343","0xc9090d9c2a6d571201bdd771703565b98fa99266","","Thu, 28 Oct 2021 05:29:00 GMT","1","15"
"2346344","0x2c2fe3bac96693b028ea9564eaa8f43164d40ad4","","Thu, 28 Oct 2021 05:29:07 GMT","1","1"
"2346346","0x224aba5d489675a7bd3ce07786fada466b46fa0f","santteegt.eth","Thu, 28 Oct 2021 05:30:00 GMT","1","67"
"2346349","0xa274f464571538a7c505c371ce3e8d292fc6afc7","","Thu, 28 Oct 2021 05:31:55 GMT","1","17"
"2346350","0x094dc639f0c47b6eca92936e142ecea207b963e4","zywwqq.eth","Thu, 28 Oct 2021 05:32:00 GMT","1","802"
